   Kintetic: 52925600.453341275        Potential: 17751766693.995495       total: -8822957746.544407
   Kintetic: 55485079.80161571        Potential: 18225655681.553574       total: -9057342760.975172
   Kintetic: 58122910.62515272        Potential: 18708339781.95753       total: -9296046980.353613
   Kintetic: 60826277.063121244        Potential: 19198243480.66974       total: -9538295463.271748
   Kintetic: 63593239.527882956        Potential: 19696941371.099205       total: -9784877446.021719
   Kintetic: 66439881.817392245        Potential: 20202195409.012516       total: -10034657822.688866
   Kintetic: 69365279.13910069        Potential: 20714988722.209995       total: -10288129081.965897
   Kintetic: 72412242.39136153        Potential: 21235729385.642467       total: -10545452450.429873
   Kintetic: 75568795.80516952        Potential: 21766125276.601006       total: -10807493842.495333
   Kintetic: 78765051.79989734        Potential: 22303516976.047756       total: -11072993436.22398
   Kintetic: 82055392.94910733        Potential: 22850062334.27647       total: -11342975774.189127
   Kintetic: 85368831.74353595        Potential: 23403556897.770466       total: -11616409617.141697
   Kintetic: 88710899.75886208        Potential: 23967440522.665375       total: -11895009361.573826
   Kintetic: 92086638.36835259        Potential: 24540058327.460213       total: -12177942525.361753
   Kintetic: 95552317.37208387        Potential: 25121168002.02735       total: -12465031683.641592
   Kintetic: 99100858.89851052        Potential: 25709855894.080227       total: -12755827088.141603
   Kintetic: 102740341.74259353        Potential: 26306212834.002438       total: -13050366075.258625
   Kintetic: 106476425.40370917        Potential: 26910770522.499725       total: -13348908835.846153
   Kintetic: 110268225.9329715        Potential: 27524097007.06156       total: -13651780277.597809
   Kintetic: 114074659.46397655        Potential: 28145881437.707554       total: -13958866059.389801
   Kintetic: 117992610.97402507        Potential: 28777183361.994335       total: -14270599070.023142
   Kintetic: 122026209.54656452        Potential: 29419437027.246387       total: -14587692304.07663
