   Kintetic: 15.654710382747023        Potential: 400.0       total: -184.34528961725297
   Kintetic: 15.032820254016848        Potential: 1600.0       total: -784.9671797459831
   Kintetic: 14.2714965900471        Potential: 3600.0       total: -1785.728503409953
   Kintetic: 13.576199749770701        Potential: 6400.0       total: -3186.4238002502293
   Kintetic: 13.220578327814797        Potential: 9999.999999999998       total: -4986.779421672184
   Kintetic: 13.546474841295334        Potential: 14400.0       total: -7186.453525158705
   Kintetic: 14.964073809049161        Potential: 19600.0       total: -9785.03592619095
   Kintetic: 17.952223941834344        Potential: 25600.0       total: -12782.047776058165
   Kintetic: 23.058966439769836        Potential: 32400.0       total: -16176.94103356023
   Kintetic: 30.902301812598473        Potential: 39999.99999999999       total: -19969.097698187397
   Kintetic: 42.1712282232189        Potential: 48400.0       total: -24157.82877177678
   Kintetic: 57.6270851297041        Potential: 57600.0       total: -28742.372914870295
   Kintetic: 78.1052369906025        Potential: 67600.0       total: -33721.8947630094
   Kintetic: 104.517133028303        Potential: 78400.0       total: -39095.482866971695
   Kintetic: 107.7440737468555        Potential: 90000.0       total: -44892.25592625314
   Kintetic: 116.91944128183461        Potential: 102400.0       total: -51083.08055871817
   Kintetic: 133.15370631236817        Potential: 115600.0       total: -57666.84629368763
   Kintetic: 157.63500582185821        Potential: 129600.0       total: -64642.36499417814
   Kintetic: 191.6327238540233        Potential: 144400.0       total: -72008.36727614597
   Kintetic: 226.67898830473905        Potential: 159999.99999999997       total: -79773.32101169524
   Kintetic: 273.37584001044326        Potential: 176400.0       total: -87926.62415998956
   Kintetic: 333.2166192420357        Potential: 193600.0       total: -96466.78338075796
   Kintetic: 358.0860784126314        Potential: 211600.0       total: -105441.91392158737
   Kintetic: 397.15354601406443        Potential: 230400.0       total: -114802.84645398594
   Kintetic: 452.1199641569645        Potential: 250000.0       total: -124547.88003584303
   Kintetic: 524.7866340049216        Potential: 270400.0       total: -134675.2133659951
   Kintetic: 617.0633872166275        Potential: 291600.0       total: -145182.93661278338
   Kintetic: 730.9777432080214        Potential: 313600.0       total: -156069.02225679197
   Kintetic: 806.204482980934        Potential: 336400.0       total: -167393.79551701905
   Kintetic: 886.4606640362422        Potential: 360000.0       total: -179113.53933596375
   Kintetic: 991.5560616742699        Potential: 384400.0       total: -191208.44393832574
   Kintetic: 1123.8096588715134        Potential: 409600.0       total: -203676.19034112847
   Kintetic: 1285.6870276211434        Potential: 435600.0       total: -216514.31297237886
   Kintetic: 1404.5179712808058        Potential: 462400.0       total: -229795.48202871918
   Kintetic: 1556.029745310894        Potential: 490000.0       total: -243443.9702546891
   Kintetic: 1743.0113179949135        Potential: 518400.0       total: -257456.9886820051
   Kintetic: 1968.440437911761        Potential: 547600.0       total: -271831.5595620882
   Kintetic: 2131.0280275986183        Potential: 577600.0       total: -286668.97197240137
   Kintetic: 2334.167066849137        Potential: 608400.0       total: -301865.8329331509
   Kintetic: 2581.0808896560807        Potential: 639999.9999999999       total: -317418.91911034385
   Kintetic: 2813.302091383707        Potential: 672400.0       total: -333386.6979086163
   Kintetic: 3094.7998620995995        Potential: 705600.0       total: -349705.2001379004
   Kintetic: 3429.387430519121        Potential: 739600.0       total: -366370.6125694809
   Kintetic: 3731.1178930035267        Potential: 774400.0       total: -383468.8821069965
   Kintetic: 4034.4653034765997        Potential: 810000.0       total: -400965.5346965234
   Kintetic: 4397.407089993725        Potential: 846400.0       total: -418802.5929100063
   Kintetic: 4824.441620483514        Potential: 883600.0       total: -436975.5583795165
   Kintetic: 5172.230150125057        Potential: 921600.0       total: -455627.76984987495
   Kintetic: 5590.6302600707395        Potential: 960400.0       total: -474609.3697399293
   Kintetic: 6084.869891998317        Potential: 1000000.0       total: -493915.1301080017
   Kintetic: 6573.162199211067        Potential: 1040400.0       total: -513626.8378007889
   Kintetic: 7142.72236722724        Potential: 1081600.0       total: -533657.2776327728
   Kintetic: 7589.975980521787        Potential: 1123600.0       total: -554210.0240194782
   Kintetic: 8126.768349776321        Potential: 1166400.0       total: -575073.2316502237
   Kintetic: 7583.764405604913        Potential: 1210000.0       total: -597416.2355943951
   Kintetic: 7113.982151957266        Potential: 1254400.0       total: -620086.0178480428
   Kintetic: 6590.0579659924215        Potential: 1299600.0       total: -643209.9420340076
   Kintetic: 5930.129093951747        Potential: 1345600.0       total: -666869.8709060482
   Kintetic: 5352.231836395646        Potential: 1392400.0       total: -690847.7681636043
   Kintetic: 4858.907816359588        Potential: 1440000.0       total: -715141.0921836405
   Kintetic: 4453.067076164268        Potential: 1488400.0       total: -739746.9329238357
   Kintetic: 3956.4565322657254        Potential: 1537600.0       total: -764843.5434677342
   Kintetic: 3550.7192318028583        Potential: 1587600.0       total: -790249.2807681971
   Kintetic: 3113.332839392794        Potential: 1638400.0       total: -816086.6671606072
   Kintetic: 2621.1927765977366        Potential: 1690000.0       total: -842378.8072234023
   Kintetic: 2231.217301725714        Potential: 1742400.0       total: -868968.7826982742
   Kintetic: 1860.2678820968615        Potential: 1795600.0       total: -895939.7321179032
   Kintetic: 1556.8968817154255        Potential: 1849600.0       total: -923243.1031182846
   Kintetic: 1273.8794639453035        Potential: 1904400.0       total: -950926.1205360547
   Kintetic: 1105.3243306216132        Potential: 1960000.0       total: -978894.6756693784
   Kintetic: 758.5585607341262        Potential: 2016400.0       total: -1007441.4414392659
